# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Wed Jan 12 06:37:51 2022
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total H2O CO2 O3 N2O CO CH4 O2 N2 Rayleigh CIA
2.713565386e+00 1.81579e-46 1.31978e-43 1.73974e-04 9.99117e-01 9.99975e-01 9.99999e-01 9.99987e-01 9.99999e-01 9.99999e-01 9.99855e-01 9.99999e-01
2.715374429e+00 2.63024e-27 3.06000e-25 2.52595e-03 9.99078e-01 9.99973e-01 9.99999e-01 9.99993e-01 9.99999e-01 9.99999e-01 9.99856e-01 9.99999e-01
2.717184679e+00 1.27479e-35 2.43917e-34 1.15460e-02 9.99168e-01 9.99966e-01 9.99999e-01 9.99978e-01 9.99999e-01 9.99999e-01 9.99856e-01 9.99999e-01
2.718996135e+00 8.14335e-94 6.75388e-93 3.57251e-02 9.99242e-01 9.99967e-01 9.99999e-01 9.99965e-01 9.99999e-01 9.99999e-01 9.99857e-01 9.99999e-01
2.720808799e+00 2.73544e-168 1.19441e-167 6.00289e-02 9.99322e-01 9.99963e-01 9.99999e-01 9.99952e-01 9.99999e-01 9.99999e-01 9.99857e-01 9.99999e-01
2.722622672e+00 3.06036e-111 1.02838e-110 7.99723e-02 9.99322e-01 9.99957e-01 9.99999e-01 9.99990e-01 9.99999e-01 9.99999e-01 9.99857e-01 9.99999e-01
2.724437754e+00 7.76973e-136 1.72187e-135 1.25925e-01 9.99524e-01 9.99964e-01 9.99999e-01 9.99995e-01 9.99999e-01 9.99999e-01 9.99858e-01 9.99999e-01
2.726254046e+00 2.25143e-35 4.01444e-35 2.12368e-01 9.99506e-01 9.99968e-01 9.99999e-01 9.99992e-01 9.99999e-01 9.99999e-01 9.99858e-01 9.99999e-01
2.728071548e+00 2.34064e-17 3.78880e-17 2.48092e-01 9.99611e-01 9.99974e-01 9.99999e-01 9.99989e-01 9.99999e-01 9.99999e-01 9.99858e-01 9.99999e-01
2.729890263e+00 3.42487e-15 5.43397e-15 3.19023e-01 9.99707e-01 9.99978e-01 9.99999e-01 9.99919e-01 9.99999e-01 9.99999e-01 9.99859e-01 9.99999e-01
2.731710190e+00 9.82586e-16 1.54111e-15 2.58157e-01 9.99737e-01 9.99975e-01 9.99999e-01 9.99961e-01 9.99999e-01 9.99999e-01 9.99859e-01 9.99999e-01
